"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";11.01.2022 10:54:27;4.000;1,287.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";14.01.2022 9:17:43;4.000;1,287.00
"Альгицид пролонгированного действия непенящийся ""Aqualeon"" 5кг";14.01.2022 9:17:43;2.000;844.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";17.01.2022 11:58:35;48.000;1,287.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";26.01.2022 13:46:34;10.000;1,487.00
"Коагулянт ""Aqualeon"" (25г) ведро 4 кг";26.01.2022 13:46:34;3.000;2,115.10
"Дез. ср-во ""Aqualeon"" быстрый стаб. хлор в таб. (20г) ведро 1,5 кг";26.01.2022 13:46:34;12.000;876.20
"Альгицид пролонгированного действия непенящийся ""Aqualeon"" 5кг";28.01.2022 10:49:45;1.000;844.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";28.01.2022 10:49:45;4.000;1,487.00
"PH-минус ""Aqualeon"" жидкий 30л";28.01.2022 10:49:45;1.000;1,487.00
"PH-минус ""Aqualeon"" жидкий 30л";31.01.2022 10:41:23;12.000;1,487.00
"Коагулянт ""Aqualeon"" (25г) ведро 1,5 кг";31.01.2022 10:41:23;9.000;1,008.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";31.01.2022 10:41:23;36.000;1,487.00
"Дез. ср-во ""Aqualeon"" быстрый стаб. хлор в таб. (20г) ведро 4 кг";31.01.2022 10:41:23;3.000;2,144.00
"Втулка с внутренней резьбой ПВХ 25-3/4""";03.02.2022 10:48:07;1.000;109.00
Угольник ПВХ 25*90 (Испания);03.02.2022 10:48:07;6.000;42.00
"Втулка с внутренней резьбой ПВХ 25/20-1""";03.02.2022 10:48:07;2.000;118.00
Муфта разборная ПВХ D25 (Испания);03.02.2022 10:48:07;2.000;211.00
"Ниппель ПВХ D32/25-1/2""";03.02.2022 10:48:07;1.000;64.00
Муфта ПВХ D 25;03.02.2022 10:48:07;2.000;45.00
"Ниппель ПВХ D32/25-1""";03.02.2022 10:48:07;3.000;64.00
Тройник ПВХ D25x90 (Испания);03.02.2022 10:48:07;1.000;56.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";08.02.2022 10:00:38;5.000;1,487.00
"PH-минус ""Aqualeon"" жидкий 30л";08.02.2022 10:00:38;1.000;1,487.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";09.02.2022 11:51:21;48.000;1,487.00
"Дез. ср-во ""Aqualeon"", медленный стаб. хлор. в таб.(200гр) ведро 5кг";15.02.2022 9:41:10;2.000;2,788.50
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";02.03.2022 11:04:39;5.000;1,487.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";14.03.2022 13:04:35;48.000;1,749.08
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";22.03.2022 10:46:45;2.000;1,677.20
"PH-минус ""Aqualeon"" жидкий 30л";22.03.2022 10:46:45;2.000;1,691.20
Угольник ПВХ 63*90 (Испания);24.03.2022 12:34:53;1.000;318.00
Труба д.63х3.0 мм 10 Бар НПВХ клеевая с раструбом;24.03.2022 12:34:53;6.000;362.00
Труба д.50х2.4 мм 10 Бар НПВХ клеевая с раструбом;24.03.2022 12:34:53;3.000;290.00
"Дез. ср-во ""Aqualeon"" быстрый стаб. хлор в таб. (20г) 0,5кг";24.03.2022 13:58:03;2.000;514.00
"Дез. ср-во ""Aqualeon"" медлен.стаб.хлор компл.действия таб (200г) ведро 5кг";24.03.2022 13:58:03;8.000;3,609.00
"Дез. ср-во ""Aqualeon"" быстрый стаб. хлор в таб. (20г) ведро 4 кг";24.03.2022 13:58:03;5.000;2,701.00
"Альгицид пролонгированного действия непенящийся ""Aqualeon"" 1кг";24.03.2022 13:58:03;144.000;285.00
"Очиститель минерального налета ""Aqualeon"" 1кг";24.03.2022 13:58:03;10.000;358.00
"Коагулянт ""Aqualeon"" жидкий 1л";24.03.2022 13:58:03;12.000;155.00
"БСХ Дез. ср-во ""Aqualeon"" быстрый хлор гранулы (ведро 1кг)";24.03.2022 13:58:03;12.000;694.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";25.03.2022 11:12:37;2.000;2,396.00
"PH-минус ""Aqualeon"" жидкий 30л";25.03.2022 11:12:37;1.000;2,556.00
"Дезинфицирующее средство ""Aqualeon"" жидкое 30л с дыш.кр";25.03.2022 11:36:37;6.000;1,677.20
"Дез. ср-во ""Aqualeon"" медлен.стаб.хлор компл.действия таб (200г) ведро 5кг";25.03.2022 11:45:15;10.000;3,609.00
"Дез. ср-во ""Aqualeon"" медлен.стаб.хлор компл.действия таб (20г) ведро 4кг";25.03.2022 11:45:15;6.000;2,978.00
"Коагулянт ""Aqualeon"" (25г) ведро 4 кг";25.03.2022 11:45:15;4.000;2,665.00
"Дез. ср-во ""Aqualeon"" быстрый стаб. хлор в таб. (20г) ведро 4 кг";25.03.2022 11:45:15;10.000;2,701.00
